n_triangles,window,entry_z,exit_z,weight_cap,is_sharpe,is_cagr,is_max_dd,is_n_days,robust_score,min_yearly_sharpe,yearly_sharpes
10,120,2.0,0.75,0.15,0.4798224659716676,0.08444040423809307,-0.2808755907872379,1827,0.23948794653499672,-0.4340543362222156,"{2020: nan, 2021: 1.0796192680223657, 2022: 0.9818500999890912, 2023: -0.4340543362222156, 2024: 0.15846266359008548}"
8,120,2.5,0.75,0.15,0.38601245483598506,0.049419017093796924,-0.2440166037081365,1827,0.23938738626958178,-0.25977653849636173,"{2020: nan, 2021: 0.6650779324910051, 2022: 0.6946196783560326, 2023: 0.5676940610737489, 2024: -0.25977653849636173}"
8,120,2.5,0.75,0.2,0.3841506878621844,0.06014799404863336,-0.3171106155311486,1827,0.23495006411378971,-0.271567302015939,"{2020: nan, 2021: 0.6650779324910051, 2022: 0.6946196783560329, 2023: 0.5676940610737489, 2024: -0.271567302015939}"
12,120,2.5,0.5,0.2,0.5166653339046581,0.11133371584041085,-0.4221573707241709,1827,0.23219936852216372,-0.16139771084902552,"{2020: nan, 2021: 0.7619539741466388, 2022: 0.6675998375585156, 2023: 1.3887237936003292, 2024: -0.16139771084902552}"
12,120,2.0,0.75,0.15,0.41924677324322,0.07352001781706319,-0.3357418143129488,1827,0.2321642241599206,-0.20533964096000862,"{2020: nan, 2021: 1.1182978706957938, 2022: 0.7970238641344709, 2023: -0.12930573761166345, 2024: -0.20533964096000862}"
12,120,2.5,0.5,0.25,0.5556846026742737,0.13594417178041018,-0.44756532524240056,1827,0.2279836272485169,-0.09197471361511976,"{2020: nan, 2021: 0.7405933950840532, 2022: 0.7520689043202761, 2023: 1.42627928711356, 2024: -0.09197471361511976}"
10,90,2.5,0.75,0.25,0.48374292597025725,0.10714846228862829,-0.3743348011176252,1827,0.22768722326707752,-0.31434481931264036,"{2020: nan, 2021: 1.0790412393056619, 2022: 0.8752427262669469, 2023: 0.2259881961643158, 2024: -0.31434481931264036}"
12,90,2.5,0.75,0.15,0.4404775709484812,0.07550517910701471,-0.30408686798769335,1827,0.22713288104835005,-0.48651154902008864,"{2020: nan, 2021: 0.8168526279827079, 2022: 0.7506768543308531, 2023: 0.7944886691672147, 2024: -0.48651154902008864}"
12,120,2.0,0.5,0.2,0.5263283892270951,0.12121146930354265,-0.42431826705093467,1827,0.225104988811619,-0.15828138256404684,"{2020: nan, 2021: 0.8431773116427841, 2022: 0.8371189990420662, 2023: 0.7627205092985252, 2024: -0.15828138256404684}"
10,90,2.5,0.5,0.25,0.43644391991812986,0.0929355281382167,-0.3841064171370616,1827,0.224971205066675,-0.06494734512208994,"{2020: nan, 2021: 0.8564897635016583, 2022: 0.7806745266061834, 2023: 0.08389401049860758, 2024: -0.06494734512208994}"
8,120,2.0,0.5,0.25,0.46705823175878597,0.09841583212998684,-0.4050148900831455,1827,0.21124452479512967,-0.15160847098147523,"{2020: nan, 2021: 0.8162887265449087, 2022: 0.799168501651, 2023: 0.4813417775542704, 2024: -0.15160847098147523}"
